date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
12/30/2008 0:00,ACI,519,538,514,521,521.3,528.6,1205,119.41,229250
12/28/2008 0:00,ACI,528,537.9,516.5,527,528.6,502.1,1214,91.9733,173700
12/24/2008 0:00,ACI,524.9,525,480,485.9,502.1,481.5,1570,166.5134,334500
12/23/2008 0:00,ACI,480,490,477.6,477.6,481.5,479.6,376,23.9691,49450
12/22/2008 0:00,ACI,477.2,489,477.1,481,479.6,482.9,525,36.4681,75650
12/21/2008 0:00,ACI,480.2,501,479,489,482.9,481.3,958,73.6185,150500
12/18/2008 0:00,ACI,483,487,469,470,481.3,462.9,691,43.9578,91850
12/17/2008 0:00,ACI,463,470,453.1,458.1,462.9,466.4,564,31.9845,69100
12/15/2008 0:00,ACI,465,476,456.1,471,466.4,478.1,557,26.8279,57500
12/14/2008 0:00,ACI,475,496,474.2,495,478.1,498.8,523,29.9676,61800
12/4/2008 0:00,ACI,501,507.8,491,491,498.8,500.5,1016,73.4538,146700
12/3/2008 0:00,ACI,496,512,480,496.7,500.5,484,1609,115.0116,230750
12/2/2008 0:00,ACI,482,496,455.1,469,484,461.5,1580,94.0684,199050
12/1/2008 0:00,ACI,470,474.9,410,419.9,461.5,406.1,1226,73.66,164950
11/30/2008 0:00,ACI,410,418,370.5,407.5,406.1,396.8,1122,70.0796,177250
11/27/2008 0:00,ACI,391,433.1,390.5,433.1,396.8,419.8,1443,92.7229,223350
11/26/2008 0:00,ACI,432,455,417.7,455,419.8,448.5,1191,80.4152,185550
11/25/2008 0:00,ACI,450,464,448,454.3,448.5,460.1,695,45.9032,101450
11/24/2008 0:00,ACI,460,484.9,453,484.9,460.1,474.9,783,55.1601,119050
11/23/2008 0:00,ACI,472,509.9,470.1,499.9,474.9,491.4,776,51.192,104850
11/20/2008 0:00,ACI,483,499.6,451.1,472,491.4,483.1,957,70.4736,147600
11/19/2008 0:00,ACI,481,522.5,476,520,483.1,517.7,1151,90.0986,181950
11/18/2008 0:00,ACI,519.8,558.9,512.5,515,517.7,514.8,2202,167.2951,312350
11/17/2008 0:00,ACI,509,517,502.1,505,514.8,506.2,791,44.0879,86350
11/16/2008 0:00,ACI,508.9,526,502.2,525.9,506.2,518.2,640,43.2559,83900
11/13/2008 0:00,ACI,515,534.8,503,503,518.2,508.4,1818,126.7209,242300
11/12/2008 0:00,ACI,510,514,490,499,508.4,484.1,1076,75.1028,149750
11/11/2008 0:00,ACI,482.9,519,476,514.5,484.1,490.4,1009,64.5707,132050
11/10/2008 0:00,ACI,498.9,515,436,481.1,490.4,478.6,1598,98.2399,211600
11/9/2008 0:00,ACI,480,539,473,531.2,478.6,530.2,1771,160.3899,321450
11/6/2008 0:00,ACI,537,550,524.1,550,530.2,535.8,801,58.5176,109750
11/5/2008 0:00,ACI,544,571,526,570,535.8,562.7,957,95.5962,175450
11/4/2008 0:00,ACI,564.5,583,556,556,562.7,558.6,673,48.0872,84250
11/3/2008 0:00,ACI,570,608.6,555,598.9,558.6,578.4,1519,142.9359,249850
11/2/2008 0:00,ACI,581.7,624.9,573,619,578.4,603.5,1758,175.543,297250
10/30/2008 0:00,ACI,601,619,601,619,603.5,613.9,890,68.3752,112400
10/29/2008 0:00,ACI,612,620,603.3,617,613.9,607.2,1353,115.3083,188200
10/28/2008 0:00,ACI,609.8,618.7,595.4,610,607.2,598.1,1027,85.895,141150
10/27/2008 0:00,ACI,596.5,644,592,614,598.1,600.2,2154,213.5042,346750
10/26/2008 0:00,ACI,601.2,614.9,589,605,600.2,590.5,1971,183.4861,304750
10/23/2008 0:00,ACI,589,611.9,586,611.9,590.5,593.3,1059,95.9106,160700
10/22/2008 0:00,ACI,599.9,599.9,570,580.3,593.3,585.4,1172,120.6796,207350
10/21/2008 0:00,ACI,582.1,610,582.1,604,585.4,608.4,1656,161.289,271450
10/20/2008 0:00,ACI,610.7,615,602.6,612,608.4,627.8,1530,151.6409,249050
10/19/2008 0:00,ACI,623.5,648,616,640,627.8,632.2,2033,197.9425,311350
10/16/2008 0:00,ACI,634,639,593,601.5,632.2,597.1,2657,259.162,418800
10/15/2008 0:00,ACI,600.9,608.9,591,598,597.1,599.9,1471,143.9778,240900
10/14/2008 0:00,ACI,604.9,619.9,592.4,619.9,599.9,611.4,1379,133.6267,219600
10/13/2008 0:00,ACI,608.5,623.5,605.3,623.5,611.4,604.3,2008,194.7328,317700
10/12/2008 0:00,ACI,602.5,638,600,634.9,604.3,625.7,2906,337.8336,548250
