date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
12/30/2008 0:00,EHL,246,250,228,250,245.75,232.75,478,9.1081,37580
12/28/2008 0:00,EHL,233.75,234.75,225.5,226.5,232.75,225.75,394,6.828,29500
12/24/2008 0:00,EHL,226,231,223,223,225.75,221.5,528,8.9187,39260
12/23/2008 0:00,EHL,222.75,224,218.5,218.5,221.5,220.25,184,2.5838,11680
12/22/2008 0:00,EHL,221,226,215,226,220.25,223.5,381,5.5071,24860
12/21/2008 0:00,EHL,224.5,225,215,216,223.5,215,576,9.7204,43900
12/18/2008 0:00,EHL,216,216,209,211.75,215,207.75,183,2.317,10860
12/17/2008 0:00,EHL,210,213,205,207,207.75,209.75,109,1.5424,7360
12/15/2008 0:00,EHL,210,213.5,207,213,209.75,214,168,1.9363,9240
12/14/2008 0:00,EHL,213,221.75,212,221,214,218,173,1.9797,9100
12/4/2008 0:00,EHL,220,224.75,215,215,218,216.75,314,3.3219,15020
12/3/2008 0:00,EHL,219,219.75,205.25,206.25,216.75,209,466,5.7397,26780
12/2/2008 0:00,EHL,210,213,207,213,209,209,194,2.2892,10920
12/1/2008 0:00,EHL,211,214.5,208,208,209,205.5,286,3.1341,14880
11/30/2008 0:00,EHL,203,219.5,190,219,205.5,208.5,345,4.1392,20200
11/27/2008 0:00,EHL,209,227.25,207.5,227.25,208.5,230.25,413,5.8569,27140
11/26/2008 0:00,EHL,233,239,229,236.5,230.25,237,355,4.4967,19220
11/25/2008 0:00,EHL,236,244.25,233.5,238.5,237,236,597,9.288,38820
11/24/2008 0:00,EHL,236.5,242.25,232,237.5,236,231.75,344,5.3087,22240
11/23/2008 0:00,EHL,231,245,230.25,245,231.75,234.5,430,5.5885,23700
11/20/2008 0:00,EHL,236,239,228,231.25,234.5,239.5,533,7.8434,33640
11/19/2008 0:00,EHL,238.5,250.25,238.25,250,239.5,248.75,299,5.2582,21780
11/18/2008 0:00,EHL,248.25,259,248,252.5,248.75,250.5,322,4.9064,19420
11/17/2008 0:00,EHL,255.25,256.75,247,252.25,250.5,254.25,270,4.0861,16260
11/16/2008 0:00,EHL,253,267,251,251,254.25,259,237,2.5881,10080
11/13/2008 0:00,EHL,256.5,273,256,268,259,264.75,1123,19.981,75240
11/12/2008 0:00,EHL,,,,264.75,264.75,264.75,,,
11/11/2008 0:00,EHL,266.25,266.25,258,258.25,264.75,260.75,398,6.3879,24200
11/10/2008 0:00,EHL,265,265,246,251,260.75,254,254,3.8399,15000
11/9/2008 0:00,EHL,257,265,252,262.5,254,266.25,235,2.9896,11620
11/6/2008 0:00,EHL,267.75,270.5,260,270,266.25,265,488,6.644,25000
11/5/2008 0:00,EHL,267,277,264,275,265,269.75,474,7.5696,28220
11/4/2008 0:00,EHL,271,278,268.25,270,269.75,266,611,10.4648,38480
11/3/2008 0:00,EHL,267,277,265,274,266,266.25,483,8.1018,30000
11/2/2008 0:00,EHL,268,283.5,265.5,283,266.25,279.25,606,10.248,37760
10/30/2008 0:00,EHL,278,289,277.75,289,279.25,287,604,7.5125,26640
10/29/2008 0:00,EHL,287,294.5,285,289,287,285,627,13.0795,45240
10/28/2008 0:00,EHL,282,297,277,297,285,281.25,751,14.865,51700
10/27/2008 0:00,EHL,288,309.75,272,309.75,281.25,304.75,1266,27.0969,93220
10/26/2008 0:00,EHL,302,312,302,311,304.75,310.5,597,11.6715,38000
10/23/2008 0:00,EHL,309.25,314,308,310.5,310.5,307,683,13.1322,42220
10/22/2008 0:00,EHL,309,313,305.25,310,307,307.75,458,11.1963,36320
10/21/2008 0:00,EHL,309,318,306.25,315,307.75,310.25,647,14.3985,46420
10/20/2008 0:00,EHL,313,321.5,309,316,310.25,312.75,617,12.7964,40720
10/19/2008 0:00,EHL,310,326,310,320,312.75,318.25,660,16.5342,52220
10/16/2008 0:00,EHL,320,328,316,328,318.25,323.25,802,19.5267,60860
10/15/2008 0:00,EHL,323,330,322,329,323.25,323.75,877,22.191,68460
10/14/2008 0:00,EHL,323.25,337,322,334,323.75,327.5,1222,36.19,109920
10/13/2008 0:00,EHL,330,332,324.5,332,327.5,321.5,850,28.3166,86280
10/12/2008 0:00,EHL,323,340,319,340,321.5,338.75,1186,31.3561,95460
10/8/2008 0:00,EHL,340,343,325,325,338.75,325.75,1722,59.2704,175700
10/7/2008 0:00,EHL,329,334.75,320.25,323,325.75,328,1473,35.7742,109720
10/6/2008 0:00,EHL,330,350,325,349,328,347.75,1363,39.8892,119220
10/5/2008 0:00,EHL,350,351,333.25,345,347.75,339.75,1537,57.1786,166380
9/25/2008 0:00,EHL,344,344.5,322,325.75,339.75,321.25,3151,102.0703,303680
9/24/2008 0:00,EHL,321.75,327,318,320,321.25,318.25,1675,52.5027,162320
9/23/2008 0:00,EHL,317,325,315,318,318.25,316,1235,35.4583,110880
9/22/2008 0:00,EHL,315,322,306,310.5,316,307.25,1632,47.9912,151660
9/21/2008 0:00,EHL,307.5,312,301,311.75,307.25,302,602,15.5505,50820
9/18/2008 0:00,EHL,305,305.75,299.25,303,302,302.25,1036,27.6773,91720
9/17/2008 0:00,EHL,303,309,301.25,309,302.25,304.75,540,12.5137,41140
9/16/2008 0:00,EHL,306,309.75,303,308,304.75,303.25,543,13.9604,45700
9/15/2008 0:00,EHL,307.75,309,301,305.5,303.25,305,724,14.4498,47600
9/14/2008 0:00,EHL,305.5,312,303,308,305,310.25,449,11.4586,37420
9/11/2008 0:00,EHL,310,317,310,316,310.25,316.25,600,15.499,49620
9/10/2008 0:00,EHL,316,321.5,313.75,317.5,316.25,319,845,19.9424,62980
9/9/2008 0:00,EHL,315,329,315,328,319,323.25,991,29.9152,92640
9/8/2008 0:00,EHL,326,329,306.75,306.75,323.25,304.5,2019,59.5504,187160
9/7/2008 0:00,EHL,306,307.5,300,303,304.5,301.25,435,10.4312,34280
9/4/2008 0:00,EHL,303,308.75,300,305,301.25,304,398,8.7795,29080
9/3/2008 0:00,EHL,302.25,312,302.25,312,304,309.25,510,13.555,44280
9/2/2008 0:00,EHL,309,312.5,306,309,309.25,307.5,555,13.9222,44940
9/1/2008 0:00,EHL,309.25,310.75,303.5,307.75,307.5,301.5,823,19.0195,61860
8/31/2008 0:00,EHL,300,309,298.5,309,301.5,300,507,12.6721,41880
8/28/2008 0:00,EHL,301,304.75,296,304.75,300,303.75,541,10.08,33500
8/27/2008 0:00,EHL,303.75,314.75,303,309,303.75,305.75,674,14.4634,46960
8/26/2008 0:00,EHL,308.75,308.75,291,291,305.75,288.25,913,17.3952,57660
8/25/2008 0:00,EHL,288.75,300,285,300,288.25,292.75,397,7.4143,25660
8/21/2008 0:00,EHL,296.75,298,283.25,289,292.75,279.75,404,7.4474,25400
8/20/2008 0:00,EHL,280,290,278,290,279.75,272.25,393,6.7228,23760
8/19/2008 0:00,EHL,274,293,270.25,284.25,272.25,292,732,11.6239,41260
8/18/2008 0:00,EHL,292.5,308,291,308,292,303.5,507,9.9651,33700
8/14/2008 0:00,EHL,303.75,310,301,306,303.5,304.5,353,7.0352,23140
8/13/2008 0:00,EHL,306,311,303,308.25,304.5,309,395,8.5103,27780
8/12/2008 0:00,EHL,310.5,317,308,315,309,311.75,281,6.6167,21300
8/11/2008 0:00,EHL,312.5,314.5,305,306.5,311.75,307.75,419,9.3038,30060
8/10/2008 0:00,EHL,309.75,323.75,306.5,315,307.75,309.25,790,18.1096,57520
8/7/2008 0:00,EHL,311,318,308.5,318,309.25,317,360,7.4323,23900
8/6/2008 0:00,EHL,317.5,324.5,315,323.5,317,316.75,334,7.8774,24700
8/5/2008 0:00,EHL,318.25,322,308,310,316.75,309.75,503,12.3987,39160
8/4/2008 0:00,EHL,315,319,302,319,309.75,311,517,12.8072,41460
8/3/2008 0:00,EHL,313,327,310,327,311,322.5,503,11.5117,36480
7/31/2008 0:00,EHL,321,332.75,320.25,323.25,322.5,325.75,469,12.1791,37600
7/30/2008 0:00,EHL,326,337,325,337,325.75,330.5,568,13.3239,40440
7/29/2008 0:00,EHL,331.25,338,323,332.75,330.5,328.25,789,21.5112,64960
7/28/2008 0:00,EHL,331.5,340,325.25,338.75,328.25,336.75,1127,28.6457,86660
7/27/2008 0:00,EHL,338,359,335,359,336.75,352.25,1044,30.826,90340
7/24/2008 0:00,EHL,354.75,355,341,345,352.25,340.25,1397,43.5444,124680
7/23/2008 0:00,EHL,341.25,342.5,322,323,340.25,317.5,2168,66.3424,198320
7/22/2008 0:00,EHL,321.75,327,312.75,317.5,317.5,313.25,1419,42.7373,133000
7/21/2008 0:00,EHL,314,320,311.5,314,313.25,310.5,1146,36.1804,114580
7/20/2008 0:00,EHL,313,314.5,303,310,310.5,309.5,743,18.4778,60120
7/17/2008 0:00,EHL,311.5,319,307,318,309.5,311.75,754,22.4005,71620
7/16/2008 0:00,EHL,312.75,318.5,310.5,318.5,311.75,316.75,651,15.9645,50920
7/15/2008 0:00,EHL,320,329.75,312.75,324,316.75,317.5,1132,33.1412,103440
